 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
;;;;;; reg_fdm_wdg_cnt ; [10:0] ; 11'h640 ; R/W ;;;;
0x006c;BB_CTRL1;pclk;reset_n;;;;[31:30];2'h0;RO;;;;
;;;;;; reg_btx_start_wait; [29:20]; 10'd126; R/W;;;;
;;;;;; reg_ntx_ht2040_start_wait; [19:10]; 10'd106; R/W;;;;
;;;;;; reg_ntx_start_wait; [9:0]; 10'd100; R/W;;;;
0x0070;BB_DC_RM_CONF0;pclk;reset_n;;; reg_use_stf_dc_calc_fo_min_thr; [31:24]; 8'd8; R/W;;;;
;;;;;; reg_use_stf_dc_calc_snr_min_thr; [23:16]; 8'd26; R/W;;;;
;;;;;; reg_use_stf_dc_1p6sum_snr_min_thr; [15:8]; 8'd30; R/W;;;;
;;;;;; reg_use_stf_dc_1p6sum_fo_max_thr; [7:0]; 8'd8; R/W;;;;
0x0074;BB_DC_RM_CONF1;pclk;reset_n;;;; [31:10]; 22'h0; RO;;;;
;;;;;; reg_use_dc_htstf_en; [9]; 1'd1; R/W;;;;
;;;;;; reg_use_dc_coarse_calc_en; [8]; 1'd1; R/W;;;;
;;;;;; reg_use_ltf_dc_est_fo_max_thr; [7:0]; 8'd8; R/W;;;;
0x0078;DC_CTRL1;pclk;reset_n;;; reg_loop_cnt_min_shift4; [31:24]; 8'h10; R/W;;;;
;;;;;; reg_loop_cnt_min_shift3; [23:16]; 8'h6; R/W;;;;
;;;;;; reg_loop_cnt_min_shift2; [15:8]; 8'h2; R/W;;;;
;;;;;; reg_loop_cnt_min_shift1; [7:0]; 8'h1; R/W;;;;
0x007c;DC_CTRL2;pclk;reset_n;;;; [31:24]; 8'd0; RO;;;;
;;;;;; reg_loop_cnt_min_shift7; [23:16]; 8'h80; R/W;;;;
;;;;;; reg_loop_cnt_min_shift6; [15:8]; 8'h40; R/W;;;;
