Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x0124;MACTSF1_TIMER_LO;pclk;reset_n;;reg_tsf1timer_lo;[31:0];32'h0;R/W;;;;
0x0128;MACTSF1_TIMER_HI;pclk;reset_n;;reg_tsf1timer_hi;[31:0];32'h0;R/W;;;;
0x012C;MACTSF2TIMER_ENA;pclk;reset_n;;reg_tsf2timer_ena;[31];1'h0;R/W;tsf2_reach_int/1'b0;;;
;;;;;reg_tsf2timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x0130;MACTSF2_TIMER_LO;pclk;reset_n;;reg_tsf2timer_lo;[31:0];32'h0;R/W;;;;
0x0134;MACTSF2_TIMER_HI;pclk;reset_n;;reg_tsf2timer_hi;[31:0];32'h0;R/W;;;;
0x0138;MACTSF3TIMER_ENA;pclk;reset_n;;reg_tsf3timer_ena;[31];1'h0;R/W;tsf3_reach_int/1'b0;;;
;;;;;reg_tsf3timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x013C;MACTSF3_TIMER_LO;pclk;reset_n;;reg_tsf3timer_lo;[31:0];32'h0;R/W;;;;
0x0140;MACTSF3_TIMER_HI;pclk;reset_n;;reg_tsf3timer_hi;[31:0];32'h0;R/W;;;;
0x0144;MACRND;pclk;reset_n;;mac_rnd_data;[31:0];32'h0;RO;;;;
0x0148;MACRXBEA_TO;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;reg_rxbeacontimout;[15:0];16'h7ff;R/W;;;;
0x03F8;MACPWRDATE;pclk;reset_n;;;[31:28];4'h0;RO;;;;
;;;;;reg_macpwr_date;[27:0];28'h1604141;R/W;;;;
