Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
;;;;;;;[1:0];;;;;;;
0x00f0;GPIO_PIN26;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN26_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN26_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN26_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN26_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN26_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00f4;GPIO_PIN27;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN27_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN27_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN27_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN27_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN27_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00f8;GPIO_PIN28;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN28_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN28_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN28_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN28_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN28_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00fc;GPIO_PIN29;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN29_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN29_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN29_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN29_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN29_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0100;GPIO_PIN30;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN30_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN30_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN30_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN30_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN30_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0104;GPIO_PIN31;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN31_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN31_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN31_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN31_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN31_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0108;GPIO_PIN32;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN32_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN32_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN32_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN32_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN32_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x010c;GPIO_PIN33;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN33_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN33_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN33_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN33_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN33_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0110;GPIO_PIN34;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN34_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN34_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN34_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN34_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN34_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0114;GPIO_PIN35;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN35_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN35_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN35_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN35_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN35_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0118;GPIO_PIN36;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN36_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN36_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN36_WAKEUP_ENABLE;[10];x;R/W;;;;;
