#sample iq, sample i, sample q, rx_gain, rx_err, agc_st, adc_data, lna_sat, vga_sat,1
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
545250,-492,482,0,0,0,0x851e2,0,0,0
1593826,-492,482,1,0,0,0x1851e2,0,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
3690978,-492,482,3,0,0,0x3851e2,1,1,0
4188642,-6,482,3,0,0,0x3fe9e2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
3669474,511,482,3,0,0,0x37fde2,1,1,0
